battle_id,depth,winner,turns,nodes_evaluated,nodes_pruned,pruning_pct,time_taken
1,1,Minimax,10,7,3,30.0,0.0004
2,1,Heuristic,8,8,3,27.3,0.0006
3,1,Heuristic,13,7,3,30.0,0.0004
4,1,Heuristic,11,7,3,30.0,0.0004
5,1,Heuristic,12,7,3,30.0,0.0008
6,1,Heuristic,12,7,3,30.0,0.0004
7,1,Heuristic,12,7,3,30.0,0.0016
8,1,Heuristic,6,9,3,25.0,0.001
9,1,Minimax,7,8,4,33.3,0.0006
10,1,Heuristic,12,9,3,25.0,0.0013
11,1,Minimax,8,8,4,33.3,0.0006
12,1,Heuristic,10,7,3,30.0,0.0008
13,1,Heuristic,7,8,3,27.3,0.0007
14,1,Heuristic,7,8,3,27.3,0.0006
15,1,Heuristic,10,7,3,30.0,0.0004
16,1,Heuristic,9,8,3,27.3,0.0006
17,1,Heuristic,8,7,3,30.0,0.0004
18,1,Heuristic,8,8,3,27.3,0.0008
19,1,Heuristic,7,7,3,30.0,0.0005
20,1,Heuristic,8,7,3,30.0,0.0004
